SMILES,Molecular_Weight,LogP,QED,Lipinski_H_Bond_Donors,Lipinski_H_Bond_Acceptors,Lipinski_Rule_Violation
Nc1cccc2cn(-c3ccc(C4(C(=O)O)CC4)cc3)nc12,293.326,2.7239000000000004,0.7274824382327688,2,4,0
C[C@@H]1C[C@H](NC(=O)C2(C3CC3)CCOCC2)CO1,253.34199999999987,1.4867999999999997,0.8286249383291752,1,3,0
COc1ccccc1CN(C)C(=O)COC(=O)c1c(O)cccc1F,347.342,2.3553000000000006,0.8120434230201672,1,5,0
C[C@H]1[C@@H](O)CCN1C(=O)CNc1ccc(-c2nn[nH]n2)cn1,303.326,-0.3447000000000002,0.7060815740405724,3,7,0
Cc1csc([S@@](=O)Cc2ncc(-c3cccs3)o2)n1,310.425,3.4758200000000024,0.7401031259117432,0,6,0
CC[C@H](O)[C@@H](C)C(=O)N(CC)CC(=O)N[C@H]1CCS(=O)(=O)C1,334.43800000000005,-0.45479999999999765,0.6558942722606343,2,5,0
O=C(C(F)F)N1CCC[C@H]2[C@@H]1CCN2CCF,250.26399999999995,1.2863000000000002,0.7531765433042306,0,2,0
Cc1nn(C)cc1C(=O)N[C@H]1CCN(C(=O)Cc2ccon2)C[C@H]1O,347.375,-0.34917999999999866,0.7815343768919336,2,7,0
COCCC(=O)N[C@@H](CNC(=O)c1ccc(C)c(C)c1)C(C)C,320.43300000000005,2.210540000000001,0.7715365294052335,2,3,0
CCC[C@H](C)C(=O)N1CC(O)(CNC(=O)CO[C@H]2CCOC2)C1,328.40900000000016,-0.0823999999999987,0.6504861400066071,2,5,0
CC1(C(=O)NCC2[C@H]3CN(CCOCC4CC4)C[C@H]23)CCCCCC1,348.5310000000002,3.067500000000001,0.5413516133799442,1,3,0
COC(=O)c1cncc(NC(=O)[C@H]2C[C@@H]2C(N)=O)n1,264.241,-0.6769000000000003,0.6942755093421257,2,6,0
NC(=O)c1ccc(C(=O)N2CCN([C@@H]3CCC[C@@H]3O)CC2)[nH]1,306.366,-0.21520000000000045,0.7184080742466323,3,4,0
CC#CCN1CCCC[C@@H]1CNC(=O)c1cc(CC)[nH]n1,288.395,1.5796999999999999,0.808747158493048,2,3,0
COCCN(CCOc1ccc(C#N)cc1)[C@@H]1CC[C@H](C)C1,302.4180000000001,3.074080000000002,0.7401184377245803,0,4,0
Cc1ccnc(NCC(C)(C)CN(C)C(=O)[C@H]2CCO[C@@H]2C(C)C)n1,348.4910000000001,2.7426200000000014,0.8205260274331068,1,5,0
Cc1coc(C(=O)N[C@@H]2CN(C(=O)[C@]3(C)CCNC3=O)C[C@H]2O)c1,335.36000000000007,-0.5842799999999992,0.6397410961716508,3,5,0
CC(F)(F)C(=O)NCC1(NC(=O)[C@@H]2CCOC2)CC1,276.283,0.4430999999999998,0.7655642581674114,2,3,0
CS(=O)(=O)CCC(=O)N1CC(NC(=O)COc2ccccc2)C1,340.40100000000007,-0.17289999999999894,0.7436718920284181,1,5,0
CO[C@@H](C(=O)N[C@@H]1CCCN(C(=O)C2CCC=CCC2)CC1)C1CC1,348.4870000000002,2.6551,0.7772416124759711,1,3,0
CNC(=O)CN1C[C@H]2C(NC(=O)[C@H]3CCCN3C)[C@@H]2C1,280.372,-1.1269999999999971,0.6841111062707361,2,4,0
C[C@@H]1CN(C(=O)N[C@H]2CC(C)(C)c3ccccc32)[C@@H](C)CO1,302.41800000000006,3.227800000000002,0.8651208430172203,1,2,0
CCc1[nH]ccc1C(=O)N[C@H]1CCN(CC2CCCCCC2)C1,317.47700000000015,3.351600000000002,0.8182473153222666,2,2,0
CCC(=O)NCC(=O)N[C@@H](C)C1CN(CC(=O)N[C@H](C)CC)C1,326.4410000000001,-0.13619999999999743,0.5501696660997473,3,4,0
O=C(Cc1cncnc1)NC[C@@H]1[C@H]2CN(c3nccnc3F)C[C@@H]12,328.35100000000006,0.44679999999999964,0.8577106548505686,1,6,0
Cc1ccnn1CC(=O)NC[C@@H](C)NC(=O)[C@@H]1CCOC1,294.3550000000001,-0.15107999999999877,0.7638398422173837,2,5,0
NC(=O)C1(C(=O)N[C@H]2[C@@H]3CN(Cc4nncs4)C[C@@H]32)CC1,307.3790000000001,-0.6499999999999992,0.7040129405465334,2,6,0
C/C=C(/C)C(=O)N1CCC[C@@H](N(CC)C(=O)c2ccc[nH]2)CC1,317.43300000000005,2.8241000000000005,0.86823752612834,1,2,0
